in s,C4 in V
-6.409872E-03,2.73232E-01
-6.409780E-03,2.72744E-01
-6.409688E-03,2.73232E-01
-6.409596E-03,2.71279E-01
-6.409504E-03,2.68838E-01
-6.409412E-03,2.67861E-01
-6.409320E-03,2.67373E-01
-6.409228E-03,2.64932E-01
-6.409136E-03,2.65420E-01
-6.409044E-03,2.65420E-01
-6.408952E-03,2.65420E-01
-6.408860E-03,2.64443E-01
-6.408768E-03,2.65420E-01
-6.408676E-03,2.66396E-01
-6.408584E-03,2.66885E-01
-6.408492E-03,2.67861E-01
-6.408400E-03,2.69326E-01
-6.408308E-03,2.69814E-01
-6.408216E-03,2.73232E-01
-6.408124E-03,2.72744E-01
-6.408032E-03,2.74209E-01
-6.407940E-03,2.77627E-01
-6.407848E-03,2.75186E-01
-6.407756E-03,2.79580E-01
-6.407664E-03,2.79580E-01
-6.407572E-03,2.79580E-01
-6.407480E-03,2.81045E-01
-6.407388E-03,2.81045E-01
-6.407296E-03,2.82510E-01
-6.407204E-03,2.80068E-01
-6.407112E-03,2.81533E-01
-6.407020E-03,2.79092E-01
-6.406928E-03,2.75674E-01
-6.406836E-03,2.76162E-01
-6.406744E-03,2.77627E-01
-6.406652E-03,2.74697E-01
-6.406560E-03,2.75674E-01
-6.406468E-03,2.71279E-01
-6.406376E-03,2.72256E-01
-6.406284E-03,2.72744E-01
-6.406192E-03,2.73721E-01
-6.406100E-03,2.70791E-01
-6.406008E-03,2.72744E-01
-6.405916E-03,2.74209E-01
-6.405824E-03,2.74209E-01
-6.405732E-03,2.75186E-01
-6.405640E-03,2.74697E-01
-6.405548E-03,2.77139E-01
-6.405456E-03,2.81045E-01
-6.405364E-03,2.80068E-01
-6.405272E-03,2.81045E-01
-6.405180E-03,2.80557E-01
-6.405088E-03,2.84463E-01
-6.404996E-03,2.84951E-01
-6.404904E-03,2.84951E-01
-6.404812E-03,2.86904E-01
-6.404720E-03,2.85439E-01
-6.404628E-03,2.85928E-01
-6.404536E-03,2.84951E-01
